fides_key,parent_key,title,description
data_use,,,
necessary.operations,necessary,,"Provides essential functions such as legal compliance, security, basic system operations, and support. Without the 'necessary' data use, the product or service cannot operate or meet legal and security requirements"
operational,data_use,,"Facilitates operations for the service or product, including product improvements. "
analytics,data_use,,"Provides analytics for activities such as system and advertising performance reporting, insights and advertising fraud detection."
advertising_marketing,data_use,,"Enables marketing, promotion, advertising and sales activities for the product, service, application or system."
disclosure,data_use,,Provides information regarding whether the data is being transmitted to other parties.  
necessary,data_use,,
necessary.fraud_detection,necessary,,"Detects possible fraud or misuse of the product, service, application or system."
necessary.legal_obligation,necessary,,Provides service to meet a legal or compliance obligation such as consent management.
necessary.service,necessary,,"Provides the necessary product, service, application or system, without which the product/service would not be possible."
necessary.legal_obligation.hold,necessary.legal_obligation,,Provides service to meet a legal hold. 
necessary.service.notifications.email,necessary.service.notifications,,"Sends email notifications about the product, service, application or system."
necessary.service.notifications.sms,necessary.service.notifications,,"Sends SMS notifications about the product, service, application or system."
necessary.operations.support,necessary.operations,,"Provides support for the product, service, application or system."
necessary.operations.improve,necessary.operations,,"Necessary to optimize and improve support for the product, service, application or system."
necessary.operations.quality_assurance,necessary.operations,,"Necessary to provide quality assurance for the product, service, application, or system. "
necessary.operations.debugging,necessary.operations,,"Necessary to debug the product, service, application, or system."
necessary.service.authentication,necessary.service,,"Authenticate users to the product, service, application or system."
necessary.service.notifications,necessary.service,,"Sends notifications about the product, service, application or system."
necessary.service.operations,necessary.service,,"necessary to ensure the operation of the product, service, application or system."
necessary.service.payment_processing,necessary.service,,"necessary to processes payments for the product, service, application or system."
necessary.service.security,necessary.service,,"necessary to provide security for the product, service, application or system"
necessary.service.upgrades,necessary.service,,Provides timely system upgrade information options.
operational.service,operational,,"Functions relating to provided services, products, applications or systems."
operational.website_use,operational,,"Provides information relating to how consumers use the website, product, service, application, or system. "
operational.survey,operational,,"Information relating to surveys provided to assist with improving the website, product, service, application or systems."
operational.service.customer_support,operational.service,,
operational.service.customer_support.improve,operational.service.customer_support,,"Improves the specific product, service, application or system."
analytics.ad_reporting,analytics,,
analytics.ad_reporting.measure_ad_performance,analytics.ad_reporting,,Provides analytics for reporting of advertising performance.
analytics.ad_reporting.market_research,analytics.ad_reporting,,Provides analytics for reporting of market research. 
analytics.ad_reporting.ad_fraud_detection,analytics.ad_reporting,,Provides analytics for reporting on fraud detection.
analytics.ad_reporting.ad_viewability,analytics.ad_reporting,,Provides analytics for reporting on viewability of ads.
analytics.reporting,analytics,,
analytics.reporting.ad_performance,analytics.reporting,,Provides analytics for reporting of advertising performance.
analytics.reporting.content_performance,analytics.reporting,,Analytics for reporting on content performance.
analytics.reporting.campaign_insights,analytics.reporting,,Provides analytics for reporting of campaign insights related to advertising and promotion activities.
analytics.reporting.system,analytics.reporting,,Provides analytics for reporting on system activity.
analytics.ad_delivery_and_targeting,analytics,,Provides analytics for reporting of advertising performance.
advertising_marketing.first_party.contextual,advertising_marketing.first_party,,Serves advertisements based on current content being viewed by the user of the system or service.
advertising_marketing.first_party.targeted,advertising_marketing.first_party,,Targets advertisements based on data collected or derived about the user from use of the system.
advertising_marketing.third_party.targeted,advertising_marketing.third_party,,Targets advertisements based on data within the system or joined with data provided by 3rd parties.
advertising_marketing.communications,advertising_marketing,,"Uses combined channels to message and market to a customer, user or prospect."
advertising_marketing.first_party,advertising_marketing,,Serves advertisements based on first party data collected or derived about the user.
advertising_marketing.frequency_capping,advertising_marketing,,Restricts the number of times a specific advertisement is shown to an individual.
advertising_marketing.negative_targeting,advertising_marketing,,Enforces rules used to ensure a certain audience or group is not targeted by advertising.
advertising_marketing.profiling,advertising_marketing,,Creates audience profiles for the purpose of targeted advertising
advertising_marketing.serving,advertising_marketing,,Services to the delivery of advertising and content.
advertising_marketing.third_party,advertising_marketing,,Serves advertisements based on data within the system or joined with data provided by 3rd parties.
advertising_marketing.communications.email,advertising_marketing.communications,,Sends email marketing communications.
advertising_marketing.communications.sms,advertising_marketing.communications,,Sends SMS marketing communications.
advertising_marketing.personalize,advertising_marketing,,
advertising_marketing.personalize.content,advertising_marketing.personalize,,"Personalizes the content of the product, service, application or system."
advertising_marketing.personalize.profiling,advertising_marketing.personalize,,Creates profiles for the purpose of serving content.
advertising_marketing.personalize.system,advertising_marketing.personalize,,Personalizes the system.
disclosure.third_party_sale,disclosure,,Discloses data for cross-contextual/targeted advertising
disclosure.outside_counsel ,disclosure,,"Discloses data for legal obligations, including contracts, applicable laws or regulations."
disclosure.law_enforcement,disclosure,,Discloses data for legal obligations arising out of law enforcement requiring it for emergency purposes
disclosure.share,disclosure,,"Disclosures data for purposes of sharing data, such as for cross-contextual/targeted advertising"
disclosure.sale,disclosure,,"Disclosures data for purposes of sharing data, such as for cross-contextual/targeted advertising or for purposes of selling the data for monetary value"